'2015-09-21 22:52:10',Fan,
'2015-09-22 16:26:16',SmallFridge,
'2015-09-22 17:12:59',SmallFridge,
'2015-09-24 09:42:23',Fan,
'2015-09-24 10:54:53',Fan,
'2015-09-24 14:10:08',Fan,
'2015-09-24 14:13:07',Fan,
'2015-09-24 20:42:14',SmallFridge,
'2015-09-24 23:09:04',SmallFridge,
'2015-09-25 02:04:07',SmallFridge,
'2015-09-25 02:09:08',SmallFridge,
'2015-09-25 04:19:58',SmallFridge,
'2015-09-25 04:40:22',SmallFridge,
'2015-09-25 05:09:16',SmallFridge,
'2015-09-25 05:29:03',SmallFridge,
'2015-09-25 05:54:15',SmallFridge,
'2015-09-25 06:14:17',SmallFridge,
'2015-09-25 06:37:15',SmallFridge,
'2015-09-25 06:56:51',SmallFridge,
'2015-09-25 07:18:26',SmallFridge,
'2015-09-25 07:38:40',SmallFridge,
'2015-09-25 07:51:50',SmallFridge,
'2015-09-25 08:20:22',SmallFridge,
'2015-09-25 08:25:22',SmallFridge,
'2015-09-25 09:42:01',Shower,
'2015-09-25 09:46:06',Shower,
'2015-09-25 09:59:15',Shower,
'2015-09-25 10:01:20',Fan,
'2015-09-25 10:01:37',Fan,
'2015-09-25 10:02:15',Fan,
'2015-09-25 10:03:55',SmallFridge,
'2015-09-25 10:04:40',Shower,
'2015-09-25 10:05:25',SmallFridge,
'2015-09-25 10:09:28',Fan,
'2015-09-25 11:23:20',SmallFridge,
'2015-09-25 11:34:51',Fan,
'2015-09-25 11:39:02',Fan,
'2015-09-25 11:44:13',SmallFridge,
'2015-09-25 11:59:37',Shower,
'2015-09-25 12:00:37',Fan,
'2015-09-25 12:01:04',Fan,
'2015-09-25 12:01:10',Fan,
'2015-09-25 12:01:20',Fan,
'2015-09-25 12:02:01',Shower,
'2015-09-25 12:03:56',Fan,
'2015-09-25 12:17:20',SmallFridge,
'2015-09-25 12:19:34',SmallFridge,
'2015-09-25 12:20:00',Fan,
'2015-09-25 12:20:08',SmallFridge,
'2015-09-25 12:23:09',Fan,
'2015-09-25 12:23:20',SmallFridge,
'2015-09-25 12:24:10',Fan,
'2015-09-25 12:24:22',Fan,
